id,URL,headline,author,date
3010b353-1a7b-485a-bd93-90162597ef3b,https://www.theverge.com/23681875/substack-notes-twitter-elon-musk-content-moderation-free-speech,Is Substack Notes a ‘Twitter clone’? We asked CEO Chris Best,Nilay Patel,2023-04-13T16:50:44.255Z
14ed5368-8d16-4baf-803f-047ecd7a997f,https://www.theverge.com/2023/4/13/23671059/ai-chatbot-clone-group-chat,A data scientist cloned his best friends’ group chat using AI,James Vincent,2023-04-13T15:47:43.461Z
4dd49b00-a818-4c05-bc5d-3d41fd30c61d,https://www.theverge.com/2023/4/13/23682097/discord-leak-national-guard-classified-documents,National Guard member arrested for leaking classified documents on Discord,Emma Roth,2023-04-13T21:00:53.035Z
a70c62c3-6963-4bb2-a871-e1657e300784,https://www.theverge.com/23674113/lg-samsung-qd-oled-woled-g3-s95c-brightness-features,This is the best time in a decade to splurge on a premium OLED TV,Chris Welch,2023-04-13T13:30:00.000Z
d1b69148-fc1d-445a-85f7-fdc8e6efb406,https://www.theverge.com/2023/4/13/23681219/anker-bambu-prusa-creality-3d-printer-speed-arms-race,Anker Bambu Prusa Creality: 3D printers suddenly have a need for speed,Sean Hollister,2023-04-13T21:07:02.455Z
a6ee3f3f-60bd-4f5a-b1a7-2383c367ec91,https://www.theverge.com/23680770/final-fantasy-16-gameplay-april-sony-state-of-play,In Final Fantasy XVI you can command the dog (and a whole lot more),Ash Parrish,2023-04-13T22:02:11.331Z
1ce904bf-e93c-424f-b180-ac2ed95163d3,https://www.theverge.com/21578775/lego-nintendo-game-boy-fan-model-nick-lever-masters,The perfect Lego Nintendo Game Boy doesn’t exist...,Sean Hollister,2023-04-13T23:36:02.742Z
fd250e07-2530-4b52-acbd-c5467fdc376d,https://www.theverge.com/2023/4/13/23682499/bungie-xim-cheat-device-hardware-ban-suspend-destiny-2,Bungie is ready to ban XIM Cronus cheaters from Destiny 2,Umar Shakir,2023-04-13T23:13:40.037Z
313c2887-7d46-49cb-bdc2-56933b57c4c2,https://www.theverge.com/22899871/best-gifts-mom-tech-gadgets-ideas-christmas-birthday-mothers-valentines-day,Here’s a collection of gifts you can give mom no matter the occasion,Sheena Vasani,2023-04-13T23:00:48.297Z
5a8db948-d153-4fa7-a979-f7c276aa6028,https://www.theverge.com/2023/4/13/23682477/ea-immortals-of-aveum-single-player-shooter-magic-spells-originals-release-date,EA shares new trailer for its single-player shooter with magic spells,Jay Peters,2023-04-13T20:50:05.617Z
effdc647-b786-4eca-8689-c204dbf9cec9,https://www.theverge.com/23680219/suzume-review,Suzume is everything that’s beautiful and moving about Makoto Shinkai’s imagination,Charles Pulliam-Moore,2023-04-13T15:30:00.000Z
0f2dd51f-687e-49e1-9a79-f6f2d9cc4dd1,https://www.theverge.com/2023/4/13/23681889/spotify-ios-16-lock-home-screen-widgets-support,Spotify finally adds iOS 16 support for home and lock screen widgets,Umar Shakir,2023-04-13T20:38:01.111Z
